LGA,INJ_OR_FATAL
ALPINE,249
ARARAT,216
BALLARAT,1650
BANYULE,1139
BASS COAST,520
BAW BAW,880
BAYSIDE,936
BENALLA,240
BENDIGO,1602
BOROONDARA,1556
BRIMBANK,2366
BULOKE,95
CAMPASPE,601
CARDINIA,1391
CASEY,3706
CENTRAL GOLDFIELDS,162
COLAC OTWAY,656
CORANGAMITE,435
DANDENONG,2817
DAREBIN,1942
EAST GIPPSLAND,820
FRANKSTON,1499
GANNAWARRA,149
GEELONG,3426
GLEN EIRA,1442
GLENELG,343
GOLDEN PLAINS,452
HEPBURN,267
HINDMARSH,75
HOBSONS BAY,1096
HORSHAM,334
HUME,2750
INDIGO,260
KINGSTON,1863
KNOX,1624
LATROBE,966
LODDON,166
MACEDON RANGES,621
MANNINGHAM,1040
MANSFIELD,254
MARIBYRNONG,1074
MAROONDAH,1212
MELBOURNE,3636
MELTON,1495
MILDURA,728
MITCHELL,818
MOIRA,455
MONASH,2335
MOONEE VALLEY,1215
MOORABOOL,583
MORELAND,2069
MORNINGTON PENINSULA,1781
MOUNT ALEXANDER,216
MOYNE,351
MURRINDINDI,472
NILLUMBIK,723
NORTHERN GRAMPIANS,255
PORT PHILLIP,1313
PYRENEES,208
QUEENSCLIFFE,16
SHEPPARTON,1154
SOUTH GIPPSLAND,592
SOUTHERN GRAMPIANS,223
STONNINGTON,1440
STRATHBOGIE,306
SURF COAST,576
SWAN HILL,299
TOWONG,173
WANGARATTA,445
WARRNAMBOOL,372
WELLINGTON,742
WEST WIMMERA,91
WHITEHORSE,1669
WHITTLESEA,2403
WODONGA,371
WYNDHAM,1827
YARRA,1636
YARRA RANGES,2363
YARRIAMBIACK,73
